Title,Description,Identifier,DatePosted,ValidThrough,Qualifications,ExperienceMonths,OccupationalCategory,Responsibilities,Industry,Skills,SpecialCommitments,WorkHours,EmploymentType,OrganizationName,OrganizationType,OrganizationSameAs,OrganizationLogo,LocationLocality,LocationRegion,LocationPostalCode,LocationStreetAddress,LocationCountry
Senior Data Analyst,"     Requirement:        Domain preferably BFSI     Ability of coding in PySpark, Python, SQL are must in Data analytics project     Good understanding of Data Ingestion into On prem and Cloud. Exposure on the same is preferred.     Ability to analyze or understand data analysis requirements     Strong attention to details and communication skills to both technical and non-technical audiences required     Demonstrated track record of taking ownership, being organized, and leading projects with the ability to set and achieve the highest standards for the team     Proactive self-starter, with the ability to identify problems and follow them through to resolution     Good communication & Stakeholder management skills     Agile Project delivery managed preferably on JIRA     Experience : 8+yrs           ",281123501746,2023-11-28,2024-02-26,EducationalOccupationalCredential,96,Data Science & Analytics,Data Analyst,Banking,"Data analysis, Coding, Bfsi, Agile, Stakeholder management, JIRA, Project delivery, Financial services, SQL, Python",-,9am-6pm,"Full Time, Permanent",Capco,Organization,Capco,https://img.naukimg.com/logo_images/groups/v1/4586641.gif,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",-,-,-
Professional / Technical Fixed Term,"   Analytical skills for comparing and preparing commercial/technical synopsis.      Communication and coordinate with internal and external stakeholders.      Experience in interface of SAP , p-first system, MS Excel      Assist team to complete time bound sourcing activities.      Documentation and storage for retrieval in future.      Engage with suppliers/service providers and keep track of phase wise completion of activities.      Highlight issues to team in case of non-adherence of time line or laid down process steps.          Key Competencies needed:          Multitasking and quick response time.      Able to work in high demanding environment.      Hands on experience on Microsoft excel, word, PowerPoint      Basic knowledge of imports / Exports /Purchase and vendor engagement is a plus.          Education          Customer Centricity - Anticipating, understanding and focusing efforts on meeting the customer (stakeholders) needs or expectations      Developing Self and Others - Recognizing continuous development is essential for success and taking steps to develop self and helping others to excel      Driving Execution - Translating strategy into action and execution      Leading by Example - Encouraging and following ethical standards      Leading Change - Recognizing the need for change, initiating and adapting to change      Motivating Self and Others - Inspiring teams and individuals    ",270423502723,2023-04-27,2023-07-26,EducationalOccupationalCredential,12,Data Science & Analytics,Data Analyst,Automobile,"Analytical skills, Translation, SAP, Excel, Vendor, Powerpoint",-,9am-6pm,"Full Time, Permanent",Tata Motors,Organization,Tata Motors,https://img.naukimg.com/logo_images/groups/v1/147366.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Senior Analyst - Digital Analytics,"     Bachelor s Degree in Computer Science Data Science, Data Analytics, Business Analytics, Mathematics, Statistical, Data Engineering, or a related field      Minimum 5 years of experience in web analytics or digital marketing      2+ hands-on expertise in web analytics tools such as Adobe Analytics or Google Analytics      2+ years of experience in developing/maintaining analytics dashboards, developing/maintaining reporting tools      to build self-serve reports, and ad-hoc packages, and managing data flow, filters, and workflows      2+ years utilizing SQL and visualization tools like Tableau, DOMO, Looker, Datorama, Qlik Sense or Power BI                    Our preferred requirements:            Advance Degree in Computer Science Data Science, Data Analytics, Business Analytics, Mathematics, Statistical, Data Engineering, or a related field      Ability to derive key insights from the data and articulate them to cross-functional teams in the context of business challenges.      Prior experience on Customer-facing websites      Understanding of user behaviors on automotive OEM eCommerce experiences      Able to manage time effectively within a complex environment, and always remain composed in the event of conflicting priorities      Inquisitive, proactive, and interested in learning new tools and techniques      Evidence of strong problem-solving, analytical skills, and ability to interpret complex data sets and generate insights to build and tell a story      Excellent verbal and written communication skills with the ability to engage, influence, and inspire partners and stakeholders to drive collaboration and alignment      Passion for customer experience and continuous improvement          As the      Product Insights Senior Analyst,      you will support cross-functional team members across Ford with eCommerce and web customer journey analytics.      Collaborate with cross-functional teams including marketing, product, and development to implement website and mobile changes      Engage with businesses, and influence their strategic decisions based on analytics insights.      Become an expert in the assigned domain area and make recommendations for measurement plans per the business goals.      Develop and maintain a deep understanding of our digital customer journeys and user behavior across all channels (website, mobile app, social media, email, etc.)      Analyze website traffic and user behavior to identify areas for improvement in the customer journey      Support measurement of A/B and multivariate tests to optimize the website and mobile experiences and increase conversions      Design, develop, and deliver reporting instruments, dashboards, and ad-hoc solutions using tools (semantic layer, analytics, dashboards, report definitions) to communicate key metrics and insights to stakeholders      Create comprehensive and clear presentations for business partners and senior leadership, in the form of analytics dashboards and insights decks      Conduct deep dive analysis on various product offerings along the online purchase journey and provide insights to help businesses with strategic planning      Seek opportunities to improve the reporting processes, data collection, and delivery methods      Exercise judgment and interpretation of requests to deliver the appropriate metrics with the necessary context      Stay up to date on industry trends and best practices in web analytics and apply them to our digital customer journey analysis      ",290324501602,2024-03-29,2024-06-27,EducationalOccupationalCredential,60,Data Science & Analytics,Business Intelligence & Analytics - Other,Auto Components,"Analyst, Google Analytics, Web analytics, Business analytics, Social media, Data collection, Strategic planning, Digital marketing, Continuous improvement, SQL",-,9am-6pm,"Full Time, Permanent",Ford,Organization,Ford,https://img.naukimg.com/logo_images/groups/v1/247012.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Business Analyst - Power BI,"               We are seeking a skilled and motivated    Business Analyst    with a strong background in    Power BI    to join our team. As a Business Analyst, you will play a crucial role in transforming raw data into actionable insights, driving informed decision-making, and enhancing business performance. Your focus will be on creating compelling dashboards, insightful reports, and impactful presentations.                               Responsibilities                                   Data Analysis and Visualization       :                             Collaborate with stakeholders to understand business requirements and translate them into effective data models.                             Develop interactive dashboards and reports using Power BI and Excel, ensuring accuracy, clarity, and user-friendliness.                             Visualize complex data patterns, trends, and KPIs to facilitate decision-making.                             Proactively monitor data quality, troubleshoot issues, and ensure accuracy and consistency of reporting outputs.                                   Power BI       :                             Develop and maintain Power BI dashboards to visualize key performance indicators (KPIs), trends, and metrics relevant to various business units and stakeholders.                             Design and implement data transformation processes (ETL) to extract, clean, and load data from various sources.                             Utilize DAX (Data Analysis Expressions) for calculations, measures, and custom columns.                                   Presentation and Reporting       :                             Create visually appealing presentations that convey insights to both technical and non-technical audiences.                             Craft executive-level reports, highlighting key findings, trends, and actionable recommendations.                             Collaborate with cross-functional teams to ensure alignment and consistency in reporting.                             Conduct in-depth data analysis to identify patterns, trends, and anomalies, providing valuable insights to inform business decisions.                                   Requirements Gathering and Documentation       :                             Collaborate with stakeholders to gather requirements, understand business objectives, and translate them into actionable insights and reporting solutions.                                     Qualifications                                 Bachelor s degree in Business, Computer Science, or a related field.                               Minimum 3-4 years of experience       as a Business Analyst, with a focus on Power BI development.                             Proficiency in Power BI Desktop, DAX, Advanced Excel and data visualization techniques.                             Strong analytical skills and attention to detail.                             Excellent communication and presentation abilities.                             Experience with SQL and data modeling is a plus.                     ",120424500100,2024-04-12,2024-07-11,EducationalOccupationalCredential,36,Data Science & Analytics,Business Analyst,Management Consulting,"Computer science, Analytical skills, Data analysis, Business Analyst, Data modeling, power bi, Data quality, Advanced Excel, data visualization, SQL",-,9am-6pm,"Full Time, Permanent",Mclaren Strategic Ventures India,Organization,Mclaren Strategic Ventures India,-,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Business Systems Analyst," 1. Client Requirement Analysis:        Engage with business counterparts to gather and analyze the requirements.      Conduct thorough discovery sessions to understand client pain points, challenges, and objectives.      Translate client requirements into detailed functional specifications and use cases.        2. Solution Mapping:        Evaluate how our applications can address client needs and solve their business challenges.      Work closely with the product management and architect team to understand the features and capabilities of our applications.      Map application functionalities to client requirements, ensuring a clear alignment between client needs and our solutions.        3. Product Knowledge Enhancement:        Stay up to date with the latest features, updates, and best practices related to our applications.      Provide feedback to the product management and development teams based on client interactions and market insights.      Continuously enhance your knowledge of industry trends, competitor offerings, and emerging technologies.        4. Internal Stakeholder Collaboration:        Work closely with cross-functional teams, including sales, product management, development, and implementation, to ensure a seamless transition from presales to post-sales activities.      Act as a bridge between the client-facing teams and the product development teams, conveying client feedback and requirements effectively.          Basic Requirements         Bachelor s degree in business administration, Computer Science, Information Technology, or a related field.      Proven experience (X years) as a Business Analyst or in a similar presales role, preferably in the software application domain.      Strong understanding of business processes, requirements gathering techniques, and solution mapping.      Excellent communication skills, both verbal and written, with the ability to articulate complex technical concepts to non-technical stakeholders.      Proficiency in creating detailed documentation, including functional specifications, use cases, and proposals.      Ability to work effectively in a fast-paced, dynamic environment and manage multiple priorities simultaneously.      Familiarity with CRM software, project management tools, and other relevant applications is a plus.      Certification in Business Analysis (e.g., CBAP) or relevant domain certifications is desirable.          Impact         Accountable for quality, accuracy and efficiency of own and/or team achievements. Actions and errors can have program, project, functional impact.         Scope Contribution       Individual Contributor: Performs and/or coordinates day-to-day activities to meet departmental/project objectives. Carries out root/cause analysis in more complex problems. Can develop and implement recommendations. Managerial/Supervisory: Direct supervisory responsibilities for people. Typically first level (and lowest level) of solid line management. Carries out variety of complex activities according to plan within broader area of responsibility, analyses problems. Decision-making typically according to established solutions.       Innovation       Accepts responsibility for and demonstrates support for delegated decisions. Requires minimum supervision. Uses non standard approaches to resolving issues. Suggests improvements and seeks opportunities for innovation. Demonstrates initiative adaptability to changing business environments. Is willing to take on new roles or jobs appropriate to skill set in different environments and/or locations.       Communication       Works to influence others to accept job function s view/practices and agree/accept new concepts, practices, and approaches. Requires ability to communicate with functional leadership regarding team technical matters. May conduct briefings with senior leaders within the job function. May at times be required to negotiate regarding operational issues.Has cross-cultural knowledge and global mindset       Knowledge Experience       Management experience / Achieved advanced skills and knowledge within a specific professional discipline involving the integration of theory and principles with organisational practices and precedents. Typically requires 4-6 years relevant experience and/or a graduate equivalent (or higher) degree.                     1. Client Requirement Analysis:                Engage with business counterparts to gather and analyze the requirements.      Conduct thorough discovery sessions to understand client pain points, challenges, and objectives.      Translate client requirements into detailed functional specifications and use cases.                2. Solution Mapping:            Evaluate how our applications can address client needs and solve their business challenges.      Work closely with the product management and architect team to understand the features and capabilities of our applications.      Map application functionalities to client requirements, ensuring a clear alignment between client needs and our solutions.        3. Product Knowledge Enhancement:           Stay up to date with the latest features, updates, and best practices related to our applications.      Provide feedback to the product management and development teams based on client interactions and market insights.      Continuously enhance your knowledge of industry trends, competitor offerings, and emerging technologies.                    4. Internal Stakeholder Collaboration:                Work closely with cross-functional teams, including sales, product management, development, and implementation, to ensure a seamless transition from presales to post-sales activities.      Act as a bridge between the client-facing teams and the product development teams, conveying client feedback and requirements effectively.      ",100524502014,2024-05-10,2024-08-08,EducationalOccupationalCredential,48,Data Science & Analytics,Business Analyst,Telecom / ISP,"Product management, Business analysis, Product sales, Presales, Information technology, Operations, CRM, Software project management",-,9am-6pm,"Full Time, Permanent",Nokia,Organization,Nokia,https://img.naukimg.com/logo_images/groups/v1/36136.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Analyst,"Entity :- Accenture Strategy & Consulting Team :- Global Network Data & AI Practice :- Supply Chian Analytics  Title :- Ind & Func AI Decision Science Analyst Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Accenture Global Network  - Data & AI practice help our clients grow their business in entirely new ways. Analytics enables our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships. From strategy to execution, Accenture works with organizations to develop analytic capabilities - from accessing and reporting on data to predictive modelling - to outperform the competition As part of our Data & AI practice, you will join a worldwide network of smart and driven colleagues experienced in leading AI/ML/Statistical tools, methods and applications. From data to analytics and insights to actions, our forward-thinking consultants provide analytically-informed, issue-based insights at scale to help our clients improve outcomes and achieve high performance. Explore an Exciting Career at Accenture Do you believe in creating an impact? Are you a problem solver who enjoys working on transformative strategies for global clients? Are you passionate about being part of an inclusive, diverse, and collaborative culture? Then, this is the right place for you! Welcome to a host of exciting global opportunities in Accenture Strategy and Consulting Candidate should have good understanding of statistics/time series forecasting/Optimization methods and approaches. The candidate should be able to bring in meaningful data driven insights supporting with statistical concepts and apply the same in wider Supply Chain area. The candidate is expected to use data science skills to solve client's business problem in the supply chain area. Additionally, the role would require contributing towards asset development initiatives. Qualification Experience and Education: 2-3 years of experience in Machine Learning, Time series forecasting or Optimization Techniques. Master's degree in technology or engineering or quantitative field (e.g. MSc in Statistics and Operations Research, M.Tech. in Industrial Engineering, Applied Math/Statistics, Computer Science, MBA in Operations).  Certifications in any one or two of the areas will be an added advantage:Python, AI/ML, Optimization, Simulation, any of the cloud platforms (Azure/ GCP/ AWS). Mandatory Skills: Must have: Proficiency in data modeling developed through client projects.  Extensive use of data-driven techniques including exploratory data analysis and data pre-processing to solve business problems.  Proficient in using Python/PySpark programming for data manipulation, data visualization, and machine learning models with good hands-on experience. Proficiency in any one of the Cloud solutions Azure, GCP or AWS Proficiency in SQL for data preparation, manipulation, and descriptive analysis Proficient in supply chain domain  Excellent written and oral communication skills Good to have: Experience on Simulation and Optimization Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Exposure to Client interaction Exposure to business platforms (o9/Kinaxis/BY)",120424903486,2024-04-12,2024-07-11,EducationalOccupationalCredential,24,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"python, data manipulation, pyspark, data modeling, data visualization, time series analysis, supply chain, microsoft azure, power bi, machine learning, data preparation, artificial intelligence, sql, descriptive analysis, sap ibp, cloud applications, gcp, aws",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad, Pune","Mumbai, Hyderabad, Pune",-,-,-
Qliksense Developer,"Qlik sense Developer Desired Experience Range:   4 - 8 years Location of Requirement:  Bangalore,Hyderabad , Pune Must-Have: Implement various data modelling , visualization, and reporting techniques. Creating qvd file, Transformation. Create different types of charts for Qlik Sense Dashboard Analysis. Implementing set analysis in Qlik sense. Provide input on proposing, evaluating, and selecting appropriate design alternatives which meet client requirements and are consistent with clients current standards and processes. Creating and maintain technical design documentation. Extracting, transforming, and loading data from multiple sources into Qlik Sense applications..",80524006555,2024-05-08,2024-08-06,EducationalOccupationalCredential,48,Data Science & Analytics,Data Analyst,IT Services & Consulting,"Qlik Sense Development, QlikView, Qlik",-,9am-6pm,"Full Time, Permanent",Tata Consultancy Services (TCS),Organization,Tata Consultancy Services (TCS),https://img.naukimg.com/logo_images/groups/v1/223346.gif,"Hyderabad, Pune, Bengaluru","Hyderabad, Pune, Bengaluru",-,-,-
Abinitio Developer For 4th May Drive,"A day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction.  You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Primary skills: ETL->Abinitio Knowledge of more than one technology Basics of Architecture and Design fundamentals Knowledge of Testing tools Knowledge of agile methodologies   Understanding of Project life cycle activities on development and maintenance projects Understanding of one or more Estimation methodologies, Knowledge of Quality processes Basics of business domain to understand the business requirements Analytical abilities, Strong Technical Skills, Good communication skills Good understanding of the technology and domain  Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods Awareness of latest technologies and trends Excellent problem solving, analytical and debugging skills Please apply using the below link:  https://career.infosys.com/jobdesc?jobReferenceCode=INFSYS-EXTERNAL-171984&sourceId=1",70324011561,2024-04-29,2024-07-28,EducationalOccupationalCredential,36,Data Science & Analytics,BI Developer,IT Services & Consulting,"Ab Initio, Etl Development, ETL Tool",-,9am-6pm,"Full Time, Permanent",Infosys,Organization,Infosys,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,"Hyderabad, Pune, Bengaluru","Hyderabad, Pune, Bengaluru",-,-,-
Business Intelligence and Analytics,"   Pre-Requisite         Must have more than 6 years of experience in Data Analytics, Reporting and Automation     Extensive experience in MS Excel, MS Power Point, MS Access and VBA.     Expertise in handling big data to derive meaningful information for top management     Strong Analytical skills and hand on experience on Business analysis tools     Data Analysis experience in telecom domain is mandatory     Should be comfortable with working on Networking Domain         Responsibilities         Gather data from a variety of sources and organize it in meaningful ways.     Cleanse, Transform and organize data with precision.     Analysis, design and implementation of customer requirements using reporting     Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy.     Should be able to quickly gain expertise in domain of the application for which data is to be analysed.     Present data in meaningful ways using Graphs/ PivotTables/PowerPoint presentations.     Should be proficient in some of the data analysis tools, MS Excel, MS Access, VBA Macros     Identify, analyse, and interpret trends or patterns in complex data sets.     Develop reporting templates, maintain them and publish error free reports as per defined schedules     Interpret large amounts of data and provide clear insights based on historic and forecasted data.     Design and development of reports with Oracle BI Discoverer aligned to customer requirements     Handling Monthly and Quarterly reviews and Operational reports     Responsible for the creation and execution of Customer Ops request and adherence to business requirements.     Comply with standards and strategies to enhance the reporting     Actively participate in walk-through, inspection, review and user group meetings for quality assurance     Communicate and interact with appropriate areas on problems, changes and enhancements that may impact data, workflow and /or functionality within operations & reporting team     Manage towards results, by process, with facts and with continuous process improvement in mind         Knowledge and Skills           Excellent interpersonal and communication skills, including good presentation and report writing skills.     Meticulous attention to detail and ability to self-review deliverables.     Exceptional problem-solving skills and clear logical thinking.     Build strong interpersonal relationships as a data analyst needs to source data & information from various systems and people.     Ability to work to deadlines, under pressure and to juggle multiple tasks.     Ability to work on your own initiative and as part of a team.     Systematic approach to the collection, collation and presentation of information.     High level of self-motivation, determination and confidence.     Flexible and able to respond to changing priorities.         Training/Certification Required           Oracle Discoverer Plus though not mandatory     Oracle BI Enterprises Edition Plus Plus though not mandatory     Any other BI tool experience     ITIL     SQL Plus         Experience         More than 6 years.         Education         Graduate (Ideally, BS in Comp Sci) / PG / BE from IT and Telecommunication   ",110215500368,2020-07-14,2020-10-12,EducationalOccupationalCredential,72,Data Science & Analytics,Business Analyst,Telecom / ISP,Business Intelligence and Analytics,-,9am-6pm,"Full Time, Permanent",NTT DATA,Organization,NTT DATA,https://img.naukri.com/logo_images/v3/1348852.gif,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",-,-,-
Senior Associate Transformation Analytics Customer Transformation,"   A career in our Advisory Acceleration Centre is the natural extension of PwC s leading class global delivery capabilities     We provide premium, cost effective, high quality services that support process quality and delivery capability in support for client engagements     As a Senior Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution         PwC Professional skills and responsibilities for this management level include but are not limited to:             - Prefer prior experience and hands on knowledge of various data processes, including but not limited to:          - Understanding data and the analysis required to align and conform data structures to integrate with the MDM Enterprise Data Architecture          - Demonstrating knowledge of Data Modeling tools such as ER Studio and Erwin          - Demonstrating development of enterprise Conceptual, Logical and Physical data models (Enterprise Data Models)          - Demonstrating guidelines around utilization and extension of Enterprise Data Models          - Possessing the aptitude to understand how information flows across business functions          - Demonstrating the aptitude for converting business-based user stories and workflows to operational data elements          - Demonstrates an aptitude for understanding impact of business and technical changes - how they apply to current operations          - Experience with data lineage, information lifecycle management          - Hands on experience with SQL          - Strong analytical skills to support operationalization          - Demonstrates aptitude towards or has prior relevant experience with building and optimizing data pipelines, architectures and data sets                Basic consulting skills:            -Business experience, either directly or via being a Business Analyst (or similar) role on a previous project          -Communication and visualization of data and technical concepts in business terms          -Understands business requirements and solution designs for the best possible solution to business need          -Comfortable speaking to and taking calls from client and with working team   ",241123500267,2023-11-24,2024-02-22,EducationalOccupationalCredential,36,Data Science & Analytics,Business Intelligence & Analytics - Other,Accounting / Auditing,"Leadership development, Business Analyst, Data modeling, Consulting, Data structures, Process quality, Management, Operations, Analytics, SQL",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Mumbai, Hyderabad, Bengaluru","Mumbai, Hyderabad, Bengaluru",-,-,-
